0,1,2,3,4,5,6,7,8,9,10,11
TMV,"TMV
Temperature","Hot Supply
Temperature","Cold Supply
Temperature","Hot Supply
Source","Cold Supply
Source","TMV Pipework
>2 Meters?",Type of Strainers,"TMV
Accessible",Make of TMV,"Type of
TMV",Local Isolation
1.,29.3°c,46.7°c,17.8°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Altech,TMV 3,Yes – Hot & Cold
2.,33.7°c,46.7°c,17.8°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Altech,TMV 3,Yes – Hot & Cold
3.,40.5°c,46.7°c,17.8°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Altech,TMV 3,Yes – Hot & Cold
4.,24.6°c,42.8°c,17.6°c,CAL 1&2,IWS 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
5.,23.4°c,41.7°c,17.4°c,CAL 1&2,IWS 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
6.,22.3°c,42.1°c,19.7°c,CAL 1&2,IWS 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
7.,26.3°c,A,A,CAL 1&2,CWST 1,No,Unknown,No,Unknown,Unknown,Unknown
8.,21.8°c,34.0°c,19.5°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
9.,34.4°c,41.6°c,19.6°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Jewson Ltd,TMV 3,Yes – Hot & Cold
10.,22.4°c,35.0°c,18.1°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
11.,40.9°c,41.4°c,18.2°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
12.,34.2°c,42.8°c,18.4°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
13.,36.9°c,45.6°c,18.3°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
14.,25.8°c,40.4°c,19.3°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
15.,29.0°c,31.2°c,18.7°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
16.,19.2°c,19.2°c,18.5°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Caleffi,TMV 2/3,Yes – Hot & Cold
17.,18.3°c,18.3°c,18.3°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,NHS,TMV 2/3,Yes – Hot & Cold
18.,18.7°c,18.7°c,18.7°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Sirrus TS503,TMV 2/3,Yes – Hot & Cold
19.,17.4°c,17.4°c,17.4°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Sirrus TS503,TMV 2/3,Yes – Hot & Cold
20.,19.0°c,19.0°c,19.0°c,CAL 1&2,CWST 1,No,Strainers,Yes,NHS,TMV 2/3,Yes – Hot & Cold
21.,29.4°c,33.4°c,14.8°c,CAL 1&2,CWST 1,No,In-Line Strainers,Yes,Sirrus TS503,TMV 2/3,Yes – Hot & Cold
