0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HSG274 – Part 2 – Table 2.1,,,,,,,,Site Allocated Task,,,,,,,,,,
Service,,,Task,,,Frequency,,,Relevant,,,Frequency,,,Evidence:,,,Assigned to:
Documentation,,Legionella Risk Assessment Report.,,,As Required,,,Yes,,,As required,,,Yes,,,"P&W Water Hygiene
Ltd",
"Calorifier/
Water Heater",,,Inspect Calorifier internally by removing the,,Annually,,,No,,,Annually,,,No,,,To Be Appointed,
,,,inspection hatch or using a Boroscope and clean,,,,,,,,,,,,,,,
,,,by draining the vessel. The frequency of inspection,,,,,,,,,,,,,,,
,,,and cleaning should be subject to the findings and,,,,,,,,,,,,,,,
,,,increased or decreased based on conditions,,,,,,,,,,,,,,,
,,,recorded.,,,,,,,,,,,,,,,
,,"Where there is no inspection hatch, purge any
debris in the base of the Calorifier to a suitable
drain. Collect the initial flush from the base of the
cylinder to inspect clarity, quantity of debris, and
temperature.",,,Annually,,,Yes,,,Annually,,,Yes,,,"Envirocure Ltd
(Contract expired
Sept 2021)",
,,,Check Calorifier flow temperatures.,,Monthly,,,Yes,,,Monthly,,,Yes,,,"Envirocure Ltd
(Contract expired
Sept 2021)",
,,,(thermostat settings should modulate as close to,,,,,,,,,,,,,,,
,,,60°c as practicable without going below 60°c).,,,,,,,,,,,,,,,
,,,Check Calorifier return temperatures.,,,,,,,,,,,,,,,
,,,(not below 50°c).,,,,,,,,,,,,,,,
"Combination
Water Heaters",,"Inspect the integral cold water header tanks as
part of the cold water storage tank inspection
regime, clean and disinfect, as necessary. If
evidence shows that the unit regularly overflows
hot water into the integral cold water header tank,
instigate a temperature monitoring regime to
determine the frequency and take precautionary
measures as determined by the findings of this
monitoring regime.",,,Annually,,,No,,,N/A,,,N/A,,,N/A,
,,"Check water temperatures at an outlet to confirm
the heater operates at 60°c.",,,Monthly,,,No,,,N/A,,,N/A,,,N/A,
