0,1,2,3,4,5,6,7,8
,Junior Block,,,,,,,
Location:,,,Hawk Classroom,Eagle Classroom,Main Kitchen,,Staff Room,
,,,,,Pot Wash Area,Food Prep Area,,
,Type of Outlet:,,Push Tap,Push Tap,Mixer Tap/Taps,Mixer Taps,Taps,
,Condition of Outlet:,,Scaled,Scaled,Scaled,Scaled,Scaled,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,N/A,N/A,"52.2°c
CAL 1&2","50.5°c
CAL 1&2","53.0°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,N/A,N/A,N/A,N/A,N/A,
,Temperature:,,,,,,,
,Cold Water,,"16.8°c
IWS 1","18.3°c
CWST 1","17.9°c
IWS 1","18.7°c
IWS 1","16.7°c
IWS 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,1x Sink,2x Sinks,"1x Sink
1x Basin
1x Dishwasher","2x Sinks
1x Steam Oven","1x Sink
1x Tea Boiler
1x Dishwasher",
