0,1,2,3,4,5,6,7,8
,Infants Block,,,,,,,
Location:,,,External W.C,The Hive,,,The Hive,
,,,,Unisex Toilet,,,Kitchenette,
,Type of Outlet:,,Taps,Push Tap,Push Tap,Push Tap,Mixer Tap,
,Condition of Outlet:,,Scaled,Clean,Clean,Clean,Clean,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"55.1°c
CAL 1&2","46.7°c
CAL 1&2","46.7°c
CAL 1&2","46.7°c
CAL 1&2","50.8°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,N/A,"29.3°c
TMV 1","33.7°c
TMV 2","40.5°c
TMV 3",N/A,
,Temperature:,,,,,,,
,Cold Water,,"16.5°c
IWS 1","17.8°c
CWST 1","17.8°c
CWST 1","17.8°c
CWST 1","15.5°c
IWS 1",
,Temperature:,,,,,,,
,Determined Frequency,,Weekly,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,"1x Basin
1x Toilet",Left Basin,Middle Basin,Right Basin,1x Sink,
,,,,3x Toilets,,,,
