0,1,2,3,4,5,6,7,8
,Infants Block,,,,,,,
Location:,,,Robin Class,"Heads Office –
W.C",Food Prep Area,Pot Wash Area,"Main Kitchen –
W.C",
,Type of Outlet:,,Push Tap,Push Tap,Taps,Mixer/Spray Tap,Taps,
,Condition of Outlet:,,Clean,Clean,Clean,Clean,Scaled,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"19.2°c
CAL 1&2","50.1°c
CAL 1&2","51.5°c
CAL 1&2","51.6°c
CAL 1&2","51.8°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,"19.2°c
TMV 16",N/A,N/A,N/A,N/A,
,Temperature:,,,,,,,
,Cold Water,,"18.5°c
CWST 1",N/A,"17.9°c
CWST 1","17.7°c
CWST 1","18.1°c
CWST 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,1x Trough Basin,"1x Basin
1x Toilet","2x Sinks
1x Basin
1x Steam Oven","1x Sink
1x Dishwasher
(TMV)","1x Basin
1x Toilet",
