0,1,2,3,4,5,6,7
,,,,,,,
Reference:,,Water Heater 1,,,Combi 1,,
Location:,,Parkwood Pre-School – Office Kitchenette,,,Art/School Club – Kitchen,,
Accessible?,,Yes,,,Yes,,
Supplied From:,,Incoming Water Supply 3,,,Incoming Water Supply 2,,
Expansion Vessel Fitted?,,Yes,,,N/A,,
Expansion Vessel Capacity:,,12 Litres,,,N/A,,
Supplying:,,Parkwood Pre-School,,,Art/School Club,,
Hot Water System Type:,,Water Heater,,,Combination Boiler,,
Vented or Un-Vented Cylinder?,,Un-Vented,,,Un-Vented,,
Orientation:,,Vertical,,,Vertical,,
Connected/Single Unit:,,Single Unit,,,Single Unit,,
Make/Model:,,RM Cylinder – Stelflow,,,Baxi,,
Age of Cylinder (If Known):,,Unknown,,,Unknown,,
Storage Cylinder Material (If Known):,,Stainless Steel,,,N/A,,
Approximate Volume (Litres):,,120 Litres,,,0 Litres,,
Insulated?,,Pre-Insulated,,,N/A,,
Insulation Type:,,Polyurethane Foam,,,N/A,,
Access hatch to Internal Surfaces?,,Yes,,,N/A,,
Internal Surfaces Accessible?,,Yes – Removal of Immersions,,,N/A,,
Associated Pipework Material:,,Copper,,,Copper,,
Associated Pipework Sizes?,,"Flow – 22mm
Cold Supply – 22mm",,,"Flow – 15mm
Cold Supply – 15mm",,
Isolation Valves Fitted:,,Yes – Cold Feed Only,,,Ys – Cold Feed Only,,
Location of Drain Valve:,,On Cold Feed,,,N/A,,
Drain Valve Size:,,15mm,,,N/A,,
Drain Allow for Purging of Debris?,,No,,,N/A,,
Method of Heating:,,2x Immersion Heaters,,,Gas Fired Heat Exchanger,,
Sacrificial Anode Fitted?,,No,,,N/A,,
Period of Operation:,,Set Timer,,,Instantaneous,,
Thermostat set Temperature (°c):,,Unknown,,,Unknown,,
Time Water Temperatures Recorded:,,13:15pm,,,12:55pm,,
Temperature Gauge Reading (°c):,,"Cistern:
N/A","Flow:
N/A","Return:
N/A","Cistern:
N/A","Flow:
N/A","Return:
N/A"
Pipework Temperature (°c):,,"Cold Feed:
16.9°c","Flow:
63.6°c","Return:
N/A","Cold Feed:
19.2°c","Flow:
58.0°c","Return:
N/A"
De-stratification Pump Fitted?,,No,,,No,,
De-stratification Pump Timing?,,N/A,,,N/A,,
Comment,,,,,,,
